symbol,num_days,num_deals,avg_volume,avg_trades,volatility,mean_rel_range
BMH5,42,65769,4874.619047619048,1565.9285714285713,1.308863466576951,1.7964960733920925
MEU5,144,177277,4747.875,1231.0902777777778,1.728483928225028,2.1062636400021426
CRM6,244,99918,4696.25,409.5,0.9529075861943439,1.270613348769164
RTM5,117,148865,4649.683760683761,1272.3504273504273,2.4892868731963538,3.5365079312590417
BBZ5,161,58793,4616.031055900621,365.17391304347825,2.4687656899381443,2.5104483709005474
ALZ5,162,139376,4536.493827160494,860.3456790123457,1.7812690546689043,2.2828213929592396
BMM5,101,72032,4527.346534653465,713.1881188118812,1.817538296027483,2.7857728232864925
SVM6,168,273254,4452.386904761905,1626.5119047619048,1.993135596362972,2.1292868833264027
RNM5,116,241710,4426.75,2083.706896551724,2.1019045442381654,2.802624638496995
SPH5,55,90888,4369.472727272727,1652.509090909091,1.5468420057354202,2.1505154437723055
PTM5,118,197826,4346.8050847457625,1676.4915254237287,1.5609550171147397,2.047529324403345
NMU5,144,139289,4289.479166666667,967.2847222222222,2.0165443049175344,2.611551774382932
FLH5,55,55090,4288.109090909091,1001.6363636363636,2.4249210320799532,3.849315837229199
BMU5,131,85918,4275.900763358779,655.8625954198474,1.9645058741675336,2.930128019673423
LKU5,139,248709,4259.424460431655,1789.273381294964,1.469148404435371,1.8989781558951648
RTU5,139,98947,4163.755395683454,711.8489208633093,2.1255896212410033,2.9174031385607733
HSU5,192,50847,4119.895833333333,264.828125,1.5700089988802557,1.7491878888835488
MEM5,117,135026,3988.25641025641,1154.068376068376,2.041144787548639,2.860188741413216
MCZ5,157,119027,3730.891719745223,758.1337579617834,2.3263887193628525,2.9632778003126963
BMV5,127,68196,3646.732283464567,536.9763779527559,2.0998969885134233,2.2464323470564387
