symbol,num_deals,total_volume,min_price,max_price,mean_open_pos,max_open_pos,buy_count,sell_count,buy_volume,sell_volume,num_trading_days,std_close_price,mean_price,mean_volume,buy_share_cnt,buy_share_vol,has_direction
RBZ5,607969,7232322,11362.0,12505.0,613544.6334775538,1485050,305854,302115,3419973,3812349,161,288.15058027000157,11786.616241946547,11.895872980365775,0.5030749923104632,0.47287344230525136,True
NRX5,602030,30561294,3.514,4.67,565518.4662820334,2188346,297479,304551,15014932,15546362,69,0.2857037973960923,4.249149235087952,50.76373934853745,0.4941265385445908,0.49130550558494024,True
PTH6,574664,1386244,1400.0,2555.5,12705.59551558024,106010,284204,290460,686941,699303,105,235.78893527122307,2178.119217838598,2.4122687344256817,0.49455681928918466,0.4955411889970308,True
GKZ5,569270,14741571,1105.0,1436.0,434659.800832833,1171248,284427,284843,7326617,7414954,166,63.05789802319211,1302.918592232157,25.89556976478648,0.4996346197762046,0.4970038132299468,True
NRV5,568678,38237873,2.891,4.427,282714.9029203004,2161954,280885,287793,19338288,18899585,153,0.399911861419519,3.3042973457738825,67.23993718765277,0.4939262640721111,0.5057364984710316,True
GKU5,567882,15821598,1048.0,1577.0,643462.8770118501,1439722,275647,292235,7795861,8025737,145,97.092811682739,1199.702503336961,27.860714021574903,0.4853948531561134,0.49273537350651936,True
TBM5,567169,6370073,2944.0,3956.0,213119.3884213623,423178,271409,295760,3113406,3256667,117,222.39214296370565,3314.427549813195,11.231349033533215,0.47853285352337666,0.488755152413481,True
UCU5,553423,4111482,6.836,7.627,158588.32580945507,1112172,288284,265139,2196705,1914777,139,0.12319204922638982,7.184271793908096,7.429185270579647,0.5209107680743301,0.5342854474372015,True
CCK5,544075,2190545,694.6,1139.2,33803.635882454844,94498,274246,269829,1097878,1092667,93,151.52443993500077,766.9416918623351,4.026182052106787,0.5040591830170473,0.5011894300276871,True
RMH5,532652,1880365,860.0,1277.5,33010.16754781136,99932,266792,265860,949495,930870,55,124.88242483900619,1052.794078497781,3.5301941980880573,0.5008748676434145,0.5049524959249932,True
CCH5,524367,2111290,646.9,1189.4,87203.11000180713,126736,259887,264480,1018167,1093123,52,169.76669297965603,954.3837796810249,4.026359400953912,0.4956204337801578,0.48224876734129374,True
GZH6,521916,2534141,12095.0,21728.0,77130.2735503987,1262410,267559,254357,1253275,1280866,283,2416.0538832597504,13279.07025268434,4.855457583212624,0.5126476291203949,0.4945561434821504,True
KCX5,521242,10309518,2.799,4.335,218327.6544567835,1014364,259332,261910,5088769,5220749,136,0.3901470745947152,3.8239398168221284,19.778755357396374,0.49752706036735334,0.4935991187948845,True
LKZ5,514113,1465269,48955.0,70120.0,25908.584382461522,91776,254959,259154,727082,738187,163,4392.089110822273,55767.14201352621,2.850091322335751,0.49592015763071545,0.4962105934132231,True
GKH5,510646,12109754,1155.0,1521.0,803432.6478918031,1069006,255478,255168,6011616,6098138,55,78.05449188678168,1324.736674721823,23.714577221793572,0.5003035370883155,0.49642759051917984,True
YDM5,495811,4427056,3873.0,5369.0,155800.20651503437,289060,247246,248565,2168526,2258530,117,292.7066888843743,4316.568026929616,8.928918479017206,0.4986698560540206,0.4898347795916745,True
NRN5,495021,23050533,2.943,4.842,203998.6719818775,1758254,241527,253494,11264234,11786299,129,0.383646513929416,3.4722919330695063,46.56475785875751,0.4879126340094663,0.4886756414699825,True
EuH6,494724,1639781,90591.0,120031.0,214006.67913521462,1748048,186733,307991,707108,932673,170,5979.04224487451,95617.52572747633,3.3145369943645346,0.3774488401613829,0.43122099841381256,True
UCH5,494502,3311316,7.24,7.448,489500.20328276575,936958,237021,257481,1422036,1889280,55,0.03963227436972514,7.358520946325798,6.6962641202664495,0.47931252047514467,0.42944738587316944,True
SSH5,492389,10992861,1000.0,1573.0,466707.1033963034,582086,251514,240875,5510232,5482629,55,141.1776467650879,1337.3028154568847,22.325561700200453,0.5108034501176915,0.5012554966354983,True
BTZ5,492027,4284625,85000.0,108177.0,271396.5733243277,412896,243300,248727,2096437,2188188,35,2593.793942626661,89926.61671615583,8.708109514315272,0.4944850587467761,0.4892929953029728,True
NRK5,473982,21285717,2.98,4.798,120300.76676834424,819874,236716,237266,10377543,10908174,102,0.3889965832475847,3.4774824086146734,44.90828132713901,0.4994198091910663,0.4875355150122498,True
NRJ5,471179,18795543,2.834,4.685,148043.26455922896,1056066,228298,242881,8961007,9834536,82,0.4290026394782594,3.664844044407752,39.89045139957426,0.48452498944138,0.4767623366880116,True
RMM5,468035,1852598,879.5,1259.5,17364.523952729032,57490,232760,235275,932101,920497,117,90.12808451330326,1086.9811905092567,3.958246712318523,0.49731323512130504,0.5031318181278399,True
RMZ5,443952,1446699,923.5,1273.0,15171.877385997457,58782,220752,223200,724791,721908,253,62.189753409513585,1039.1695093163225,3.258683371175262,0.49724294518326306,0.5009964063015181,True
