date,symbol,open_price,high_price,low_price,close_price,avg_price,total_volume,num_trades,mean_open_pos,max_open_pos,buy_volume,sell_volume,buy_count,sell_count,asset_class,daily_return,abs_return,price_range,relative_range,volume_per_trade,buy_share,direction_imbalance,normalized_close,month,weekday,weekday_name
2025-05-28,GLDRUBF,8460.1,8461.5,8310.0,8334.8,8397.609246145754,464328,24713,1407907.1747663172,1562226,281212,183116,12225,12488,Metal (Gold/RUB),-1.3761522168711848,1.3761522168711848,151.5,1.8176800883044586,18.78881560312386,0.6056322254957702,0.10563222549577023,97.14105896201674,5,2,Wednesday
2025-05-29,GLDRUBF,8299.0,8327.9,8222.1,8269.4,8271.197466021653,392667,26046,1399189.7611149505,1459340,184381,208286,12438,13608,Metal (Gold/RUB),-0.7846618995056787,0.7846618995056787,105.79999999999927,1.2794156770745069,15.075904169546188,0.46956072193487103,0.030439278065128972,96.37883008356545,5,3,Thursday
2025-05-30,GLDRUBF,8247.6,8339.4,8238.0,8310.0,8286.23254366246,408811,28915,1413119.5304859069,1436712,174188,234623,13955,14960,Metal (Gold/RUB),0.4909666964955095,0.4909666964955095,101.39999999999964,1.2202166064981905,14.138371087670759,0.42608442532123647,0.07391557467876353,96.85201804174775,5,4,Friday
2025-06-02,GLDRUBF,8367.5,8540.0,8367.5,8537.0,8485.764285714286,376092,32438,1478229.1075898637,1521530,201736,174356,18610,13828,Metal (Gold/RUB),2.7316486161251596,2.7316486161251596,172.5,2.0206161415016988,11.594179665824033,0.5364006679216787,0.03640066792167873,99.49767485227444,6,0,Monday
2025-06-03,GLDRUBF,8500.0,8500.0,8441.0,8448.9,8462.331046757745,312098,20788,1428169.6161246873,1481540,188355,123743,11851,8937,Metal (Gold/RUB),-1.0319784467611615,1.0319784467611615,59.0,0.6983157570808035,15.013373099865307,0.6035123582977142,0.10351235829771421,98.47088029277047,6,1,Tuesday
2025-06-04,GLDRUBF,8448.9,8599.2,8415.1,8585.0,8507.793661858199,528545,30987,1449972.127730984,1538682,224254,304291,15542,15445,Metal (Gold/RUB),1.6108605854016522,1.6108605854016522,184.10000000000036,2.1444379732090897,17.05699164165618,0.4242855386012544,0.0757144613987456,100.05710889150477,6,2,Wednesday
2025-06-05,GLDRUBF,8553.6,8605.0,8478.0,8530.0,8554.04252355592,381231,26851,1524310.3581989498,1546600,193660,187571,12688,14163,Metal (Gold/RUB),-0.6406523005241693,0.6406523005241693,127.0,1.4888628370457209,14.198018695765521,0.5079859717599041,0.00798597175990412,99.41609072155336,6,3,Thursday
2025-06-06,GLDRUBF,8551.0,8573.7,8416.7,8446.6,8490.885066473105,354709,26176,1518431.6580837409,1538776,146870,207839,10389,15787,Metal (Gold/RUB),-0.9777256740914342,0.9777256740914342,157.0,1.858736059479554,13.550924511002444,0.4140577205540316,0.08594227944596838,98.4440740783907,6,4,Friday
2025-06-09,GLDRUBF,8447.6,8459.9,8394.7,8420.3,8420.977580243498,190653,14456,1527763.0254565577,1536838,93023,97630,6410,8046,Metal (Gold/RUB),-0.31136788767078816,0.31136788767078816,65.19999999999891,0.7743192047789141,13.188503043718871,0.48791784026477425,0.01208215973522575,98.13755084439573,6,0,Monday
2025-06-10,GLDRUBF,8418.0,8418.0,8280.1,8308.0,8366.46319665997,276165,25389,1539835.4037575328,1554098,109431,166734,9358,16031,Metal (Gold/RUB),-1.3336816978017363,1.3336816978017363,137.89999999999964,1.6598459316321572,10.87734845799362,0.3962522405083917,0.1037477594916083,96.82870829011317,6,1,Tuesday
